Country Name,Country Code,2018,2019,2020,2021,2022,2023
Europe & Central Asia,ECS,917380453.0,920277481.0,922353365.0,923564027.0,920375568.0,920375568.0
Europe & Central Asia (IDA & IBRD countries),TEC,458211234.0,460092452.0,461273023.0,462431038.0,457549063.0,457549063.0
Europe & Central Asia (excluding high income),ECA,396674671.0,398690076.0,400061023.0,401682855.0,397824705.0,397824705.0
European Union,EUU,447001100.0,447367191.0,447692315.0,447178112.0,447370510.0,447370510.0
Faroe Islands,FRO,50955.0,51681.0,52415.0,52889.0,53090.0,53090.0
Fiji,FJI,918996.0,918465.0,920422.0,924610.0,929766.0,929766.0
Finland,FIN,5515525.0,5521606.0,5529543.0,5541017.0,5556106.0,5556106.0
Fragile and conflict affected situations,FCS,936721531.0,957785553.0,979763631.0,1001844479.0,1019139254.0,1019139254.0
France,FRA,67158348.0,67388001.0,67571107.0,67764304.0,67971311.0,67971311.0
French Polynesia,PYF,297606.0,299717.0,301920.0,304032.0,306279.0,306279.0
Gabon,GAB,2192012.0,2242785.0,2292573.0,2341179.0,2388992.0,2388992.0
Gambia The,GMB,2444916.0,2508883.0,2573995.0,2639916.0,2705992.0,2705992.0
Georgia,GEO,3726549.0,3720161.0,3722716.0,3708610.0,3712502.0,3712502.0
Germany,DEU,82905782.0,83092962.0,83160871.0,83196078.0,83797985.0,83797985.0
Ghana,GHA,30870641.0,31522290.0,32180401.0,32833031.0,33475870.0,33475870.0
Gibraltar,GIB,32648.0,32685.0,32709.0,32669.0,32649.0,32649.0
Greece,GRC,10732882.0,10721582.0,10698599.0,10569207.0,10426919.0,10426919.0
Greenland,GRL,56023.0,56225.0,56367.0,56653.0,56661.0,56661.0
Grenada,GRD,121838.0,122724.0,123663.0,124610.0,125438.0,125438.0
Guam,GUM,168678.0,168624.0,169231.0,170534.0,171774.0,171774.0
Guatemala,GTM,16346950.0,16604026.0,16858333.0,17109746.0,17357886.0,17357886.0
Guinea,GIN,12554864.0,12877539.0,13205153.0,13531906.0,13859341.0,13859341.0
Guinea-Bissau,GNB,1924955.0,1970457.0,2015828.0,2060721.0,2105566.0,2105566.0
Guyana,GUY,785514.0,798753.0,797202.0,804567.0,808726.0,808726.0
Haiti,HTI,11012421.0,11160438.0,11306801.0,11447569.0,11584996.0,11584996.0
Heavily indebted poor countries (HIPC),HPC,792615894.0,815100831.0,838066650.0,861156745.0,884288332.0,884288332.0
High income,,1231508785.0,1236709936.0,1241718902.0,1241268556.0,1244364814.0,1244364814.0
Honduras,HND,9792850.0,9958829.0,10121763.0,10278345.0,10432860.0,10432860.0
Hong Kong SAR China,HKG,7452600.0,7507900.0,7481000.0,7413100.0,7346100.0,7346100.0
Hungary,HUN,9775564.0,9771141.0,9750149.0,9709891.0,9643048.0,9643048.0
IBRD only,IBD,4794555928.0,4832928887.0,4867091692.0,4895372787.0,4913887020.0,4913887020.0
IDA & IBRD total,IBT,6477695468.0,6553978299.0,6627317499.0,6695487825.0,6754029970.0,6754029970.0
IDA blend,IDB,559155599.0,570633332.0,582637127.0,595016031.0,607735968.0,607735968.0
IDA only,IDX,1123983941.0,1150416080.0,1177588680.0,1205099007.0,1232406982.0,1232406982.0
IDA total,IDA,1683139540.0,1721049412.0,1760225807.0,1800115038.0,1840142950.0,1840142950.0
Iceland,ISL,352721.0,360563.0,366463.0,372520.0,382003.0,382003.0
India,IND,1369003306.0,1383112050.0,1396387127.0,1407563842.0,1417173173.0,1417173173.0
Indonesia,IDN,267066843.0,269582878.0,271857970.0,273753191.0,275501339.0,275501339.0
Iran Islamic Rep.,IRN,85617562.0,86564202.0,87290193.0,87923432.0,88550570.0,88550570.0
Iraq,IRQ,40590700.0,41563520.0,42556984.0,43533592.0,44496122.0,44496122.0
Ireland,IRL,4867316.0,4934340.0,4985382.0,5033164.0,5127170.0,5127170.0
Isle of Man,IMN,83775.0,83933.0,84046.0,84263.0,84519.0,84519.0
Israel,ISR,8882800.0,9054000.0,9215100.0,9371400.0,9557500.0,9557500.0
Italy,ITA,60421760.0,59729081.0,59438851.0,59133173.0,58940425.0,58940425.0
Jamaica,JAM,2811835.0,2813773.0,2820436.0,2827695.0,2827377.0,2827377.0
Japan,JPN,126811000.0,126633000.0,126261000.0,125681593.0,125124989.0,125124989.0
Jordan,JOR,10459865.0,10698683.0,10928721.0,11148278.0,11285869.0,11285869.0
Kazakhstan,KAZ,18276452.0,18513673.0,18755666.0,19000988.0,19621972.0,19621972.0
Kenya,KEN,49953304.0,50951450.0,51985780.0,53005614.0,54027487.0,54027487.0
Kiribati,KIR,122261.0,124241.0,126463.0,128874.0,131232.0,131232.0
Korea Dem. People's Rep.,PRK,25638149.0,25755441.0,25867467.0,25971909.0,26069416.0,26069416.0
Korea Rep.,KOR,51585058.0,51764822.0,51836239.0,51744876.0,51628117.0,51628117.0
Kosovo,XKX,1797085.0,1788878.0,1790133.0,1786038.0,1761985.0,1761985.0
Kuwait,KWT,4317185.0,4441100.0,4360444.0,4250114.0,4268873.0,4268873.0
Kyrgyz Republic,KGZ,6322800.0,6456200.0,6579900.0,6773400.0,6974900.0,6974900.0
Lao PDR,LAO,7105006.0,7212053.0,7319399.0,7425057.0,7529475.0,7529475.0
Late-demographic dividend,LTE,2298987594.0,2309491804.0,2317277554.0,2322606486.0,2325542891.0,2325542891.0
Latin America & Caribbean,LCN,639628226.0,645295804.0,650534986.0,654980630.0,659310564.0,659310564.0
Latin America & Caribbean (excluding high income),LAC,576620516.0,582701622.0,588011178.0,592503434.0,596596955.0,596596955.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,623841282.0,629515571.0,634680385.0,639188695.0,643602758.0,643602758.0
Latvia,LVA,1927174.0,1913822.0,1900449.0,1884490.0,1879383.0,1879383.0
Least developed countries: UN classification,LDC,1022731692.0,1047426093.0,1072970944.0,1098791080.0,1124396999.0,1124396999.0
Lebanon,LBN,5950839.0,5781907.0,5662923.0,5592631.0,5489739.0,5489739.0
Lesotho,LSO,2198017.0,2225702.0,2254100.0,2281454.0,2305825.0,2305825.0
Liberia,LBR,4889391.0,4985289.0,5087584.0,5193416.0,5302681.0,5302681.0
Libya,LBY,6477793.0,6569088.0,6653942.0,6735277.0,6812341.0,6812341.0
Liechtenstein,LIE,38181.0,38482.0,38756.0,39039.0,39327.0,39327.0
Lithuania,LTU,2801543.0,2794137.0,2794885.0,2800839.0,2831639.0,2831639.0
Low & middle income,LMY,6399036689.0,6476092964.0,6549996251.0,6618837270.0,6678280291.0,6678280291.0
Low income,,630865826.0,648755452.0,667053670.0,685250041.0,703727949.0,703727949.0
Lower middle income,,3033153113.0,3075311775.0,3117225754.0,3157462375.0,3190184199.0,3190184199.0
Luxembourg,LUX,607950.0,620001.0,630419.0,640064.0,653103.0,653103.0
Macao SAR China,MAC,650991.0,663653.0,676283.0,686607.0,695168.0,695168.0
Madagascar,MDG,26846541.0,27533134.0,28225177.0,28915653.0,29611714.0,29611714.0
Malawi,MWI,18367883.0,18867337.0,19377061.0,19889742.0,20405317.0,20405317.0
Malaysia,MYS,32399271.0,32804020.0,33199993.0,33573874.0,33938221.0,33938221.0
Maldives,MDV,489758.0,504508.0,514438.0,521457.0,523787.0,523787.0
Mali,MLI,19934298.0,20567424.0,21224040.0,21904983.0,22593590.0,22593590.0
Malta,MLT,484630.0,504062.0,515332.0,518536.0,531113.0,531113.0
Marshall Islands,MHL,45989.0,44728.0,43413.0,42050.0,41569.0,41569.0
Mauritania,MRT,4270712.0,4383849.0,4498604.0,4614974.0,4736139.0,4736139.0
Mauritius,MUS,1265577.0,1265985.0,1266014.0,1266334.0,1262523.0,1262523.0
Mexico,MEX,124013861.0,125085311.0,125998302.0,126705138.0,127504125.0,127504125.0
Micronesia Fed. Sts.,FSM,110929.0,111379.0,112106.0,113131.0,114164.0,114164.0
Middle East & North Africa,MEA,465073490.0,473201775.0,479966649.0,486174763.0,493279469.0,493279469.0
Middle East & North Africa (IDA & IBRD countries),TMN,393806257.0,400574097.0,407006855.0,413124452.0,419284769.0,419284769.0
Middle East & North Africa (excluding high income),MNA,398375344.0,405259403.0,411810124.0,418047201.0,424328381.0,424328381.0
Middle income,MIC,5768170863.0,5827337512.0,5882942581.0,5933587229.0,5974552342.0,5974552342.0
Moldova,MDA,2707203.0,2664224.0,2635130.0,2595809.0,2538894.0,2538894.0
Monaco,MCO,37029.0,37034.0,36922.0,36686.0,36469.0,36469.0
Mongolia,MNG,3163991.0,3232430.0,3294335.0,3347782.0,3398366.0,3398366.0
Montenegro,MNE,622227.0,622028.0,621306.0,619211.0,617213.0,617213.0
Morocco,MAR,35927511.0,36304408.0,36688772.0,37076584.0,37457971.0,37457971.0
Mozambique,MOZ,29423878.0,30285595.0,31178239.0,32077072.0,32969518.0,32969518.0
Myanmar,MMR,52666014.0,53040212.0,53423198.0,53798084.0,54179306.0,54179306.0
Namibia,NAM,2405680.0,2446644.0,2489098.0,2530151.0,2567012.0,2567012.0
Nauru,NRU,11924.0,12132.0,12315.0,12511.0,12668.0,12668.0
Nepal,NPL,28506712.0,28832496.0,29348627.0,30034989.0,30547580.0,30547580.0
Netherlands,NLD,17231624.0,17344874.0,17441500.0,17533044.0,17700982.0,17700982.0
New Caledonia,NCL,271170.0,271240.0,271080.0,270390.0,269220.0,269220.0
New Zealand,NZL,4900600.0,4979200.0,5090200.0,5111400.0,5124100.0,5124100.0
Nicaragua,NIC,6572233.0,6663924.0,6755895.0,6850540.0,6948392.0,6948392.0
Niger,NER,22577058.0,23443393.0,24333639.0,25252722.0,26207977.0,26207977.0
Nigeria,NGA,198387623.0,203304492.0,208327405.0,213401323.0,218541212.0,218541212.0
North America,NAC,363967201.0,365995094.0,369582571.0,370321816.0,372280991.0,372280991.0
North Macedonia,MKD,2076217.0,2076694.0,2072531.0,2065092.0,2057679.0,2057679.0
Northern Mariana Islands,MNP,50304.0,49858.0,49587.0,49481.0,49551.0,49551.0
Norway,NOR,5311916.0,5347896.0,5379475.0,5408320.0,5457127.0,5457127.0
OECD members,OED,1354836308.0,1362014902.0,1369465369.0,1371917156.0,1376606817.0,1376606817.0
Oman,OMN,4601157.0,4602768.0,4543399.0,4520471.0,4576298.0,4576298.0
Other small states,OSS,31494491.0,32005477.0,32381464.0,32708277.0,33169026.0,33169026.0
Pacific island small states,PSS,2510226.0,2536070.0,2566819.0,2602173.0,2639019.0,2639019.0
Pakistan,PAK,219731479.0,223293280.0,227196741.0,231402117.0,235824862.0,235824862.0
Palau,PLW,17864.0,17916.0,17972.0,18024.0,18055.0,18055.0
Panama,PAN,4165255.0,4232532.0,4294396.0,4351267.0,4408581.0,4408581.0
Papua New Guinea,PNG,9329227.0,9542486.0,9749640.0,9949437.0,10142619.0,10142619.0
Paraguay,PRY,6443328.0,6530026.0,6618695.0,6703799.0,6780744.0,6780744.0
Peru,PER,32203944.0,32824861.0,33304756.0,33715471.0,34049588.0,34049588.0
Philippines,PHL,108568836.0,110380804.0,112190977.0,113880328.0,115559009.0,115559009.0
Poland,POL,37974750.0,37965475.0,37899070.0,37747124.0,36821749.0,36821749.0
Portugal,PRT,10283822.0,10286263.0,10297081.0,10361831.0,10409704.0,10409704.0
Post-demographic dividend,PST,1110123356.0,1113305347.0,1117418072.0,1116569892.0,1113495082.0,1113495082.0
Pre-demographic dividend,PRE,931467165.0,957503246.0,984213438.0,1011043183.0,1038012552.0,1038012552.0
Puerto Rico,PRI,3193354.0,3193694.0,3281557.0,3262693.0,3221789.0,3221789.0
Qatar,QAT,2766732.0,2807235.0,2760385.0,2688235.0,2695122.0,2695122.0
Romania,ROU,19473970.0,19371648.0,19265250.0,19122059.0,19047009.0,19047009.0
Russian Federation,RUS,144477859.0,144406261.0,144073139.0,144130482.0,144236933.0,144236933.0
Rwanda,RWA,12531808.0,12835028.0,13146362.0,13461888.0,13776698.0,13776698.0
Samoa,WSM,209701.0,211905.0,214929.0,218764.0,222382.0,222382.0
San Marino,SMR,34156.0,34178.0,34007.0,33745.0,33660.0,33660.0
Sao Tome and Principe,STP,211344.0,214599.0,218641.0,223107.0,227380.0,227380.0
Saudi Arabia,SAU,35018133.0,35827362.0,35997107.0,35950396.0,36408820.0,36408820.0
Senegal,SEN,15574909.0,16000781.0,16436120.0,16876720.0,17316449.0,17316449.0
Serbia,SRB,6982604.0,6945235.0,6899126.0,6834326.0,6664449.0,6664449.0
Seychelles,SYC,96762.0,97625.0,98462.0,99258.0,119878.0,119878.0
Sierra Leone,SLE,7861281.0,8046828.0,8233970.0,8420641.0,8605718.0,8605718.0
Singapore,SGP,5638676.0,5703569.0,5685807.0,5453566.0,5637022.0,5637022.0
Sint Maarten (Dutch part),SXM,40895.0,41608.0,42310.0,42668.0,42848.0,42848.0
Slovak Republic,SVK,5446771.0,5454147.0,5458827.0,5447247.0,5431752.0,5431752.0
Slovenia,SVN,2073894.0,2088385.0,2102419.0,2108079.0,2111986.0,2111986.0
Small states,SST,41379367.0,41965649.0,42393051.0,42792327.0,43313523.0,43313523.0
Solomon Islands,SLB,659249.0,674993.0,691191.0,707851.0,724273.0,724273.0
Somalia,SOM,15411094.0,15981300.0,16537016.0,17065581.0,17597511.0,17597511.0
South Africa,ZAF,57339635.0,58087055.0,58801927.0,59392255.0,59893885.0,59893885.0
South Asia,SAS,1840534093.0,1861598514.0,1882531620.0,1901911604.0,1919348000.0,1919348000.0
South Asia (IDA & IBRD),TSA,1840534093.0,1861598514.0,1882531620.0,1901911604.0,1919348000.0,1919348000.0
South Sudan,SSD,10395329.0,10447666.0,10606227.0,10748272.0,10913164.0,10913164.0
Spain,ESP,46797754.0,47134837.0,47365655.0,47415794.0,47778340.0,47778340.0
Sri Lanka,LKA,21670000.0,21803000.0,21919000.0,22156000.0,22181000.0,22181000.0
St. Kitts and Nevis,KNA,47761.0,47712.0,47642.0,47606.0,47657.0,47657.0
St. Lucia,LCA,177888.0,178583.0,179237.0,179651.0,179857.0,179857.0
St. Martin (French part),MAF,33852.0,33121.0,32553.0,31948.0,31791.0,31791.0
St. Vincent and the Grenadines,VCT,105281.0,104924.0,104632.0,104332.0,103948.0,103948.0
Sub-Saharan Africa,SSF,1092403973.0,1121549049.0,1151302081.0,1181163013.0,1211190002.0,1211190002.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1092403973.0,1121549049.0,1151302081.0,1181163013.0,1211190002.0,1211190002.0
Sub-Saharan Africa (excluding high income),SSA,1092307211.0,1121451424.0,1151203619.0,1181063755.0,1211070124.0,1211070124.0
Sudan,SDN,41999059.0,43232093.0,44440486.0,45657202.0,46874204.0,46874204.0
Suriname,SUR,593715.0,600301.0,607065.0,612985.0,618040.0,618040.0
Sweden,SWE,10175214.0,10278887.0,10353442.0,10415811.0,10486941.0,10486941.0
Switzerland,CHE,8514329.0,8575280.0,8638167.0,8704546.0,8775760.0,8775760.0
Syrian Arab Republic,SYR,19333463.0,20098251.0,20772595.0,21324367.0,22125249.0,22125249.0
Tajikistan,TJK,9128132.0,9337003.0,9543207.0,9750064.0,9952787.0,9952787.0
Tanzania,TZA,58090443.0,59872579.0,61704518.0,63588334.0,65497748.0,65497748.0
Thailand,THA,71127802.0,71307763.0,71475664.0,71601103.0,71697030.0,71697030.0
Timor-Leste,TLS,1261845.0,1280438.0,1299995.0,1320942.0,1341296.0,1341296.0
Togo,TGO,8046679.0,8243094.0,8442580.0,8644829.0,8848699.0,8848699.0
Tonga,TON,105150.0,104951.0,105254.0,106017.0,106858.0,106858.0
Trinidad and Tobago,TTO,1504709.0,1519955.0,1518147.0,1525663.0,1531044.0,1531044.0
Tunisia,TUN,11933041.0,12049314.0,12161723.0,12262946.0,12356117.0,12356117.0
Turkiye,TUR,81407204.0,82579440.0,83384680.0,84147318.0,84979913.0,84979913.0
Turkmenistan,TKM,6065066.0,6158420.0,6250438.0,6341855.0,6430770.0,6430770.0
Turks and Caicos Islands,TCA,41487.0,43080.0,44276.0,45114.0,45703.0,45703.0
Tuvalu,TUV,10865.0,10956.0,11069.0,11204.0,11312.0,11312.0
Uganda,UGA,41515395.0,42949080.0,44404611.0,45853778.0,47249585.0,47249585.0
Ukraine,UKR,44622518.0,44386203.0,44132049.0,43822901.0,38000000.0,38000000.0
United Arab Emirates,ARE,9140169.0,9211657.0,9287289.0,9365145.0,9441129.0,9441129.0
United Kingdom,GBR,66460344.0,66836327.0,67081234.0,67026292.0,66971395.0,66971395.0
United States,USA,326838199.0,328329953.0,331511512.0,332031554.0,333287557.0,333287557.0
Upper middle income,,2735017750.0,2752025737.0,2765716827.0,2776124854.0,2784368143.0,2784368143.0
Uruguay,URY,3427042.0,3428409.0,3429086.0,3426260.0,3422794.0,3422794.0
Uzbekistan,UZB,32956100.0,33580350.0,34232050.0,34915100.0,35648100.0,35648100.0
Vanuatu,VUT,297298.0,304404.0,311685.0,319137.0,326740.0,326740.0
Venezuela RB,VEN,29825653.0,28971683.0,28490453.0,28199867.0,28301696.0,28301696.0
Vietnam,VNM,94914330.0,95776716.0,96648685.0,97468029.0,98186856.0,98186856.0
Virgin Islands (U.S.),VIR,107001.0,106669.0,106290.0,105870.0,105413.0,105413.0
West Bank and Gaza,PSE,4569087.0,4685306.0,4803269.0,4922749.0,5043612.0,5043612.0
World,WLD,7660371127.0,7741774583.0,7820205606.0,7888305693.0,7950946801.0,7950946801.0
Yemen Rep.,YEM,30790513.0,31546691.0,32284046.0,32981641.0,33696614.0,33696614.0
Zambia,ZMB,17835893.0,18380477.0,18927715.0,19473125.0,20017675.0,20017675.0
Zimbabwe,ZWE,15052184.0,15354608.0,15669666.0,15993524.0,16320537.0,16320537.0
